team,year,leag,o_fgm,o_fga,o_ftm,o_fta,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_3pm,o_3pa,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_3pm,d_3pa,d_pts,pace,won,lost
CIN,1958,N,2854,7340,1713,2375,0,0,4887,1369,1855,0,0,0,0,0,7421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8064,0,19,53
DET,1958,N,2811,7305,1943,2627,0,0,4860,1317,1881,0,0,0,0,0,7565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7675,0,28,44
MIE,1958,N,2779,7084,2071,2718,0,0,5149,1373,1874,0,0,0,0,0,7629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7726,0,33,39
NYK,1958,N,2863,7170,2217,2802,0,0,4091,1383,1899,0,0,0,0,0,7943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7927,0,40,32
PH1,1958,N,2826,7423,1783,2425,0,0,4910,1375,1776,0,0,0,0,0,7435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7654,0,32,40
STL,1958,N,2879,7015,2072,2757,0,0,5045,1567,1937,0,0,0,0,0,7830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7567,0,49,23
SYR,1958,N,3050,7490,2046,2642,0,0,4900,1340,1961,0,0,0,0,0,8146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7855,0,35,37
BOS,1959,N,3744,8971,1849,2519,0,0,6014,1849,1856,0,0,0,0,0,9337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8715,0,59,16
CIN,1959,N,3210,7786,1913,2672,0,0,5251,1747,2097,0,0,0,0,0,8333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8805,0,19,56
DET,1959,N,3146,7920,2075,2847,0,0,5491,1472,1983,0,0,0,0,0,8367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8625,0,30,45
MIE,1959,N,3040,7884,1965,2691,0,0,5432,1444,1813,0,0,0,0,0,8045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8355,0,25,50
NYK,1959,N,3429,8153,1942,2539,0,0,5251,1667,1940,0,0,0,0,0,8800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8970,0,27,48
PH1,1959,N,3549,8678,1797,2686,0,0,5916,1796,1715,0,0,0,0,0,8895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8730,0,49,26
STL,1959,N,3179,7580,2148,2885,0,0,5343,1881,1995,0,0,0,0,0,8506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8303,0,46,29
SYR,1959,N,3406,8232,2105,2662,0,0,5406,1676,1939,0,0,0,0,0,8917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8730,0,45,30
BOS,1960,N,3697,9295,2062,2804,0,0,6131,1872,2032,0,0,0,0,0,9456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9014,0,57,22
CIN,1960,N,3626,8281,2060,2761,0,0,5581,2107,2159,0,0,0,0,0,9312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9583,0,33,46
DET,1960,N,3481,8357,2408,3240,0,0,5813,1866,2157,0,0,0,0,0,9370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9488,0,34,45
LAL,1960,N,3401,8430,2204,2999,0,0,5816,1728,2043,0,0,0,0,0,9006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9014,0,36,43
NYK,1960,N,3422,8347,2135,2838,0,0,5315,1822,2223,0,0,0,0,0,8979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9488,0,21,58
PH1,1960,N,3768,8883,2022,3108,0,0,5938,1959,1936,0,0,0,0,0,9558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9488,0,46,33
STL,1960,N,3618,8795,2147,2921,0,0,5994,2136,2135,0,0,0,0,0,9383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9101,0,51,28
SYR,1960,N,3654,8746,2278,2948,0,0,5726,1786,2280,0,0,0,0,0,9586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9417,0,38,41
BOS,1961,N,3855,9109,1977,2715,0,0,6080,2049,1909,0,0,0,0,0,9687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8952,0,60,20
CH3,1961,N,3461,8405,1952,2901,0,0,5547,1802,1954,0,0,0,0,0,8874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9552,0,18,62
CIN,1961,N,3806,8414,2233,2969,0,0,5665,2154,2081,0,0,0,0,0,9845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9704,0,43,37
DET,1961,N,3472,8366,2290,3142,0,0,5823,1723,2040,0,0,0,0,0,9234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9368,0,37,43
LAL,1961,N,3552,8315,2378,3240,0,0,5600,1878,2057,0,0,0,0,0,9482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9600,0,54,26
NYK,1961,N,3638,8696,1911,2693,0,0,5440,1765,2056,0,0,0,0,0,9187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9576,0,29,51
PH1,1961,N,3917,8929,2201,3207,0,0,5939,2073,2013,0,0,0,0,0,10035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9816,0,49,31
STL,1961,N,3641,8461,2226,2939,0,0,5557,1996,2166,0,0,0,0,0,9508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9768,0,29,51
SYR,1961,N,3706,8875,2246,2880,0,0,5764,1791,2344,0,0,0,0,0,9658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9472,0,41,39
BOS,1962,N,3746,8779,2012,2777,0,0,5818,1960,2090,0,0,0,0,0,9504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8928,0,58,22
